Kebangsaan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
Belarus,965,948,899,667,695,-,-,-,-,-,-,-,-
Bosnia Herzegovina,68,88,72,107,99,-,-,-,-,-,-,-,-
Bulgaria,915,1328,1311,1093,587,-,-,-,-,-,-,-,-
Ceko,1785,2468,2616,1998,1166,-,-,-,-,-,-,-,-
Croasia,484,467,430,408,285,-,-,-,-,-,-,-,-
Cyprus,101,110,149,218,114,-,-,-,-,-,-,-,-
Estonia,901,1125,777,368,219,-,-,-,-,-,-,-,-
Georgia,70,80,76,53,83,-,-,-,-,-,-,-,-
Hongaria,1456,1621,2192,1707,1472,-,-,-,-,-,-,-,-
Latvia,536,570,700,389,236,-,-,-,-,-,-,-,-
Lithuania,783,1000,1129,736,592,-,-,-,-,-,-,-,-
Macedonia,19,44,47,54,56,-,-,-,-,-,-,-,-
Moldova,55,44,50,54,44,-,-,-,-,-,-,-,-
Polandia,3692,3841,3873,4755,3387,-,-,-,-,-,-,-,-
Romania,1930,2101,1924,2916,1921,-,-,-,-,-,-,-,-
Montenegro,24,29,25,40,13,-,-,-,-,-,-,-,-
Serbia,336,418,294,553,412,-,-,-,-,-,-,-,-
Republik Cosovo,0,0,1,3,4,-,-,-,-,-,-,-,-
Siberia,0,0,0,0,0,-,-,-,-,-,-,-,-
Slovakia,702,784,1015,880,724,-,-,-,-,-,-,-,-
Slovenia,251,509,416,674,277,-,-,-,-,-,-,-,-
Ukraine,3052,4212,2319,2143,1820,-,-,-,-,-,-,-,-
Yugoslavia,0,0,0,0,0,-,-,-,-,-,-,-,-
Yunani (Greece),801,852,885,960,793,-,-,-,-,-,-,-,-
TOTAL EUROPE,144115,155491,183972,196091,190305,-,-,-,-,-,-,-,-
United States of America,27006,31090,39125,33869,36732,-,-,-,-,-,-,-,-
Canada,7277,8522,8707,7490,7769,-,-,-,-,-,-,-,-
Central America,123,143,188,130,170,-,-,-,-,-,-,-,-
Belize,2,4,5,2,12,-,-,-,-,-,-,-,-
Costarika,30,37,79,49,46,-,-,-,-,-,-,-,-
El Salvador,9,10,17,10,25,-,-,-,-,-,-,-,-
Guatemala,38,34,51,28,48,-,-,-,-,-,-,-,-
Honduras,22,15,11,18,12,-,-,-,-,-,-,-,-
Nicaragua,2,10,4,5,3,-,-,-,-,-,-,-,-
Panama,20,33,21,18,24,-,-,-,-,-,-,-,-
South America,6412,6315,6854,6916,7192,-,-,-,-,-,-,-,-
Argentina,1275,1070,930,1077,1023,-,-,-,-,-,-,-,-
Bolivia,16,15,15,10,38,-,-,-,-,-,-,-,-
Brazilia,2170,2091,2594,2632,3156,-,-,-,-,-,-,-,-
Chili,874,1191,904,1031,1011,-,-,-,-,-,-,-,-
Ekuador,129,130,138,156,159,-,-,-,-,-,-,-,-
Falkland Islands,0,0,0,0,0,-,-,-,-,-,-,-,-
Guiana,0,0,0,0,0,-,-,-,-,-,-,-,-
Guyana,5,2,2,3,9,-,-,-,-,-,-,-,-
Kolombia,1473,1325,1596,1200,1271,-,-,-,-,-,-,-,-
Paraguay,9,7,6,9,7,-,-,-,-,-,-,-,-
Peru,308,300,239,253,265,-,-,-,-,-,-,-,-
Suriname,11,10,12,9,43,-,-,-,-,-,-,-,-
Uruguay,71,73,296,427,116,-,-,-,-,-,-,-,-
Venezuela,71,101,122,109,94,-,-,-,-,-,-,-,-
Other America,1223,1285,1899,1473,1834,-,-,-,-,-,-,-,-
Antigua & Barbuda,3,6,1,6,9,-,-,-,-,-,-,-,-
Alaska,0,0,0,0,0,-,-,-,-,-,-,-,-
Barbados,6,3,7,5,10,-,-,-,-,-,-,-,-
Bermuda,0,0,0,0,0,-,-,-,-,-,-,-,-
Bahama Islands,4,2,7,4,13,-,-,-,-,-,-,-,-
Dominika,8,21,34,22,20,-,-,-,-,-,-,-,-
Dominika Rep.,9,11,21,19,26,-,-,-,-,-,-,-,-
Grenadines (Grenada),0,2,0,3,8,-,-,-,-,-,-,-,-
Guadelope,0,0,0,0,0,-,-,-,-,-,-,-,-
Haiti,3,6,5,10,6,-,-,-,-,-,-,-,-
Jamaika,13,20,15,26,30,-,-,-,-,-,-,-,-
Kuba,37,12,15,63,51,-,-,-,-,-,-,-,-
Martinique,0,0,0,0,0,-,-,-,-,-,-,-,-
Mexiko,1051,1099,1612,1193,1453,-,-,-,-,-,-,-,-
Puertorico,0,0,0,0,0,-,-,-,-,-,-,-,-
St. Christopher,0,0,0,0,0,-,-,-,-,-,-,-,-
St. Kitts & Nevis,12,18,11,18,22,-,-,-,-,-,-,-,-
St. Lucia,3,3,10,8,10,-,-,-,-,-,-,-,-
St. Vincent,0,1,2,4,4,-,-,-,-,-,-,-,-
Trinidad & Tobago,14,11,47,17,25,-,-,-,-,-,-,-,-
UNO,60,70,112,75,147,-,-,-,-,-,-,-,-
TOTAL AMERICA,42041,47355,56773,49878,53697,-,-,-,-,-,-,-,-
Australia,127097,102395,124149,127973,137200,-,-,-,-,-,-,-,-
New Zealand,6966,6996,8545,12576,13426,-,-,-,-,-,-,-,-
Other Oceania,10026,7960,7186,7962,8235,-,-,-,-,-,-,-,-
Cooks Islands,0,0,0,0,0,-,-,-,-,-,-,-,-
Fiji Islands,66,66,104,75,120,-,-,-,-,-,-,-,-
Guam,0,0,0,0,0,-,-,-,-,-,-,-,-
Kaledonia,0,0,0,0,0,-,-,-,-,-,-,-,-
Karibati (Kiribati),2,3,0,0,5,-,-,-,-,-,-,-,-
Marshall Islands,0,0,0,1,1,-,-,-,-,-,-,-,-
Micronesia Rep.,0,2,0,1,1,-,-,-,-,-,-,-,-
Nauru,1,7,2,2,6,-,-,-,-,-,-,-,-
Niue,0,0,0,0,0,-,-,-,-,-,-,-,-
Palau Rep.,2,0,2,0,2,-,-,-,-,-,-,-,-
Papua New Guinea,9919,7864,7054,7850,8039,-,-,-,-,-,-,-,-
Polynesia,0,0,0,0,0,-,-,-,-,-,-,-,-
Samoa Barat,0,0,0,0,0,-,-,-,-,-,-,-,-
Samoa,13,2,6,6,16,-,-,-,-,-,-,-,-
Solomon Islands,13,6,3,9,19,-,-,-,-,-,-,-,-
Tonga,3,4,6,5,4,-,-,-,-,-,-,-,-
Tuvalu,0,0,4,2,4,-,-,-,-,-,-,-,-
Vanuatu,7,6,5,11,18,-,-,-,-,-,-,-,-
Walis & Futuna,0,0,0,0,0,-,-,-,-,-,-,-,-
TOTAL OCEANIA,144089,117351,139880,148511,158861,-,-,-,-,-,-,-,-
South Africa,1836,1768,2641,2234,2456,-,-,-,-,-,-,-,-
Other Africa,2627,2689,1731,3406,5108,-,-,-,-,-,-,-,-
Afrika Tengah Rep.,0,0,0,0,0,-,-,-,-,-,-,-,-
Aljazair / Algeria,185,226,56,203,469,-,-,-,-,-,-,-,-
Angola,16,10,21,10,10,-,-,-,-,-,-,-,-
Benin,4,1,3,8,18,-,-,-,-,-,-,-,-
Bostwana,11,15,4,28,20,-,-,-,-,-,-,-,-
Burkina Faso,3,4,5,9,46,-,-,-,-,-,-,-,-
Burkinabe,0,0,0,0,0,-,-,-,-,-,-,-,-
Burundi,2,0,3,5,2,-,-,-,-,-,-,-,-
Cabinda,0,0,0,0,0,-,-,-,-,-,-,-,-
Cape Verde,5,3,4,2,6,-,-,-,-,-,-,-,-
Chad,5,4,4,5,20,-,-,-,-,-,-,-,-
Comoros,16,3,1,12,18,-,-,-,-,-,-,-,-
Congo,7,6,2,7,4,-,-,-,-,-,-,-,-
Congo Rep. Dem.,9,14,12,9,26,-,-,-,-,-,-,-,-
Djibouti,4,0,1,3,1,-,-,-,-,-,-,-,-
Eritrea,8,3,5,7,7,-,-,-,-,-,-,-,-
Ethiopia,27,46,49,39,41,-,-,-,-,-,-,-,-
Gabon,4,6,4,3,2,-,-,-,-,-,-,-,-
Gambia,2,8,2,1,6,-,-,-,-,-,-,-,-
Ghana,55,52,53,36,108,-,-,-,-,-,-,-,-
Guinea,4,7,0,0,6,-,-,-,-,-,-,-,-
Guinea Bissau,0,1,5,0,1,-,-,-,-,-,-,-,-
Guinea Equator,1,0,0,0,0,-,-,-,-,-,-,-,-
Ivory Coast (Pantai Gading),10,13,20,9,48,-,-,-,-,-,-,-,-
Kamerun,21,22,21,20,33,-,-,-,-,-,-,-,-
Kenya,243,263,273,308,356,-,-,-,-,-,-,-,-
Lesotho,1,2,3,2,4,-,-,-,-,-,-,-,-
Liberia,4,0,4,3,0,-,-,-,-,-,-,-,-
Libya,119,81,15,54,124,-,-,-,-,-,-,-,-
Malagasy (Madagascar),16,15,16,22,26,-,-,-,-,-,-,-,-
Malawi,7,5,10,5,34,-,-,-,-,-,-,-,-
Mali,3,7,9,7,37,-,-,-,-,-,-,-,-
Maroko,690,788,306,1050,1560,-,-,-,-,-,-,-,-
Maseru,0,0,0,0,0,-,-,-,-,-,-,-,-
Mauritania,8,6,2,4,14,-,-,-,-,-,-,-,-
Mauritius,90,96,152,108,130,-,-,-,-,-,-,-,-
Mozambik,57,38,13,18,40,-,-,-,-,-,-,-,-
Namibia,27,9,19,21,38,-,-,-,-,-,-,-,-
Niger,0,3,0,1,8,-,-,-,-,-,-,-,-
Nigeria,61,124,87,110,169,-,-,-,-,-,-,-,-
Rwanda,13,11,18,29,24,-,-,-,-,-,-,-,-
Sahara,0,0,0,0,0,-,-,-,-,-,-,-,-
Sao Tome & Principe,0,0,0,0,2,-,-,-,-,-,-,-,-
Senegal,12,23,12,20,94,-,-,-,-,-,-,-,-
Seychelles,22,6,14,29,27,-,-,-,-,-,-,-,-
Sierra Leona,8,9,6,13,13,-,-,-,-,-,-,-,-
Somalia,11,27,4,28,25,-,-,-,-,-,-,-,-
Sudan,132,139,61,155,178,-,-,-,-,-,-,-,-
South Sudan,2,0,9,5,7,-,-,-,-,-,-,-,-
Swaziland,2,3,5,8,67,-,-,-,-,-,-,-,-
Tanzania,207,95,67,80,116,-,-,-,-,-,-,-,-
Togo,7,3,4,8,9,-,-,-,-,-,-,-,-
Tunisia,355,405,181,775,946,-,-,-,-,-,-,-,-
Uganda,16,31,26,34,60,-,-,-,-,-,-,-,-
Zaire,0,0,0,0,0,-,-,-,-,-,-,-,-
Zambia,20,11,33,20,23,-,-,-,-,-,-,-,-
Zimbabwe,95,45,107,73,85,-,-,-,-,-,-,-,-
Zomba,0,0,0,0,0,-,-,-,-,-,-,-,-
TOTAL AFRICA,4463,4457,4372,5640,7564,-,-,-,-,-,-,-,-
GRAND TOTAL,927746,1062149,1041861,1066958,1145499,-,-,-,-,-,-,-,-
